,France,Japan,"Korea, Republic of",Norway,Portugal,Sweden,Switzerland,United Kingdom,United States
2005Q4,1184.813333333334,1207.431113333334,1045.1643333333334,1130.2333333333331,1153.7869999999998,3810.4699999999993,1307.0141333333347,1021.7666666666668,197.866666666667
2006Q1,1183.8733333333337,1196.8681833333326,1052.1156666666666,1125.3333333333333,1153.962,3801.6333333333328,1296.424566666666,1018.8999999999999,198.933333333333
2006Q2,1191.42,1204.8123299999997,1058.2753333333337,1137.0333333333326,1174.2066666666672,3833.0633333333326,1313.9557999999993,1029.8,202.3
2006Q3,1190.516666666667,1205.503103333333,1063.6543333333334,1126.5999999999992,1169.1573333333336,3825.1433333333343,1296.4581333333338,1033.0333333333328,203.433333333333
2006Q4,1194.683333333334,1207.3071066666673,1061.3073333333334,1140.5333333333328,1182.9473333333337,3843.233333333334,1310.5349333333334,1046.2333333333333,201.7
2007Q1,1192.9633333333338,1194.2633833333332,1068.495,1132.5000000000002,1179.0089999999993,3870.8499999999995,1293.9730333333334,1043.1000000000001,203.755666666667
2007Q2,1202.5066666666664,1202.0116166666667,1077.3623333333333,1140.0666666666662,1205.0949999999998,3914.323333333334,1316.1445333333336,1051.733333333333,207.662333333333
2007Q3,1204.3699999999994,1201.3619166666665,1082.8126666666665,1134.2999999999993,1197.2449999999997,3927.6800000000007,1302.2183666666663,1048.8000000000002,208.235333333333
2007Q4,1215.6666666666672,1207.6221466666673,1089.0353333333333,1147.5666666666668,1213.6266666666666,3974.830000000001,1325.1516666666678,1062.7666666666667,209.716333333333
2008Q1,1218.9366666666665,1200.5519499999998,1101.107,1147.7666666666669,1212.799666666667,3989.1299999999987,1316.068533333332,1061.5666666666666,212.100333333333
2008Q2,1233.9066666666668,1210.5173433333343,1119.678666666666,1158.3000000000002,1234.6370000000004,4043.8466666666664,1341.387233333334,1078.6666666666663,216.756666666667
2008Q3,1232.2466666666667,1217.8741766666667,1132.6500000000005,1167.5333333333338,1226.5796666666674,4023.8700000000003,1329.1442666666667,1087.0333333333338,219.277666666667
2008Q4,1233.0266666666676,1211.0015099999991,1131.676,1172.333333333333,1234.5403333333331,4026.229999999999,1340.2795666666661,1092.366666666667,213.075333333333
2009Q1,1228.9266666666665,1192.529026666666,1140.2549999999999,1171.0333333333335,1218.865666666667,4015.336666666668,1317.7991666666674,1086.9,212.015
2009Q2,1237.9,1196.5869300000002,1149.429666666667,1184.6000000000006,1234.0279999999998,4042.39,1336.516333333334,1098.6000000000004,214.263
2009Q3,1236.9866666666674,1191.6973833333336,1155.3666666666668,1181.8666666666666,1221.4893333333337,4052.4366666666674,1323.338433333332,1102.8333333333333,215.718
2009Q4,1242.079999999999,1190.9181266666667,1157.1686666666665,1193.1333333333332,1233.4213333333332,4089.5266666666657,1341.1602999999998,1113.5666666666666,216.152
