,Australia,Brazil,Canada,Colombia,France,Indonesia,Israel,Japan,"Korea, Republic of",Mexico,New Zealand,Norway,Portugal,Sweden,Switzerland,United Kingdom,United States
1997Q3,1469.7000000000003,1422.15666666667,180.2666666666667,43.1366666666667,1088.4166666666665,20.2880566666667,1008.4500933333331,1271.3893733333332,866.9206666666665,81.91353,82.51213,1043.9666666666665,943.0856666666668,3309.7966666666653,1297.1200999999996,983.2666666666663,160.833333333333
1997Q4,1472.2,1429.56,180.0333333333333,44.4133333333333,1083.6233333333334,21.0129,1020.3783800000006,1281.4624933333332,877.3276666666671,84.19363666666669,82.96716,1054.0,947.151333333333,3362.5533333333346,1292.727799999999,994.1999999999999,161.466666666667
1998Q1,1475.9,1450.71666666667,182.2333333333333,46.9233333333333,1083.0266666666666,25.2164833333333,1011.2020133333335,1268.4042899999997,911.3363333333332,88.57526999999999,83.11884,1056.7999999999993,947.5999999999995,3334.029999999999,1294.2590666666667,983.1999999999996,161.9
1998Q2,1478.2000000000003,1464.67333333333,182.6666666666666,50.36,1088.5433333333335,29.8088166666667,1037.3156800000002,1273.8845633333335,916.8083333333332,91.69798,83.49803,1063.033333333334,957.2739999999992,3350.9766666666656,1294.256166666666,993.8666666666669,162.766666666667
1998Q3,1478.4,1459.49,182.1333333333333,51.3333333333333,1085.6666666666663,35.7730933333333,1043.9218333333326,1268.9288166666677,914.4003333333334,95.1144266666667,83.95306,1060.9666666666662,959.8666666666672,3330.33,1291.7983000000002,987.9666666666662,163.4
1998Q4,1477.9,1455.58333333333,182.3666666666667,51.8366666666667,1087.4399999999991,37.4861233333333,1091.0381033333329,1274.3605800000007,916.7293333333337,100.15885333333341,83.27052,1071.5999999999997,970.4443333333337,3339.4100000000003,1291.8386333333333,998.0333333333332,163.966666666667
1999Q1,1470.3,1484.13,184.06666666666672,100.5433333333333,1087.0966666666668,39.2744066666667,1089.4698699999994,1265.0876500000006,918.3773333333329,106.5532,171.67472,1068.166666666667,967.1230000000004,3381.763333333334,1296.7689999999998,987.233333333334,164.6
1999Q2,1471.1999999999998,1512.52666666667,185.3666666666667,101.89333333333329,1094.07,39.0085466666667,1091.7744966666676,1272.091353333333,919.353666666667,108.23882666666671,170.99468000000002,1077.6,977.289,3418.1733333333327,1292.5373000000004,994.6666666666664,166.2
1999Q3,1470.5,1539.78333333333,185.0333333333333,102.3833333333333,1091.2600000000004,38.1482666666667,1085.6772233333338,1267.3026000000004,917.7186666666669,109.8287233333333,170.62745,1065.4,975.1710000000004,3440.4766666666674,1287.1178999999993,989.3333333333331,167.233333333333
1999Q4,1472.4,1577.29333333333,185.1,103.5866666666667,1095.033333333334,38.1231833333333,1104.7250300000005,1270.9484133333335,921.8436666666666,111.52592333333331,170.29384,1079.7333333333336,985.2790000000005,3456.446666666666,1284.8335,996.2999999999996,168.266666666667
2000Q1,1482.9,1600.97,185.8,109.0333333333333,1096.87,39.04115,1096.4004333333337,1260.172046666667,930.1880000000004,114.46689,1272.27618,1071.1333333333332,976.897333333333,3452.590000000001,1280.9789333333333,982.7333333333337,169.933333333333
2000Q2,1485.6,1612.09333333333,187.9333333333334,112.94999999999999,1096.1633333333325,39.4349233333333,1110.5227366666668,1263.0952233333342,925.6729999999998,116.2835833333333,1272.35854,1087.1999999999996,991.8700000000001,3474.760000000001,1269.0217999999995,989.5999999999997,171.733333333333
2000Q3,1501.9,1656.22,189.56666666666672,111.95666666666659,1096.4599999999994,40.31527,1100.6980233333331,1257.8516499999996,931.733333333333,117.93378333333331,1274.5232600000002,1083.1999999999998,995.8126666666668,3473.1733333333323,1270.4954999999998,981.2999999999995,173.1
2000Q4,1502.4,1675.11,190.3,112.75999999999999,1099.7866666666673,41.4639833333333,1103.541896666666,1254.6752699999997,936.820333333333,120.29768,1276.9216,1096.2333333333331,1009.2700000000003,3498.256666666667,1271.7093999999997,990.5000000000001,174.033333333333
2001Q1,1504.5,1700.41666666667,193.0333333333333,117.7733333333334,1097.3633333333344,42.6854233333333,1088.8837366666667,1242.5985500000006,953.9699999999999,121.66333333333341,1279.4552099999999,1095.6333333333337,1009.351,3503.5633333333326,1271.2916333333337,976.3999999999999,175.7
2001Q2,1505.5,1724.90333333333,196.7666666666667,122.29,1107.5200000000011,43.83414,1103.228033333333,1244.4905900000003,960.8506666666668,123.2801,1280.8039700000002,1104.9333333333334,1024.774666666667,3571.6399999999994,1278.4697333333336,986.7666666666669,177.533333333333
