Date,AAPL,AXP,BA,CAT,CSCO,CVX,DD,DIS,GE,GS,HD,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PFE,PG,TRV,UNH,UTX,V,VZ,WMT,XOM,^GSPC
3/3/2017,0.022573532,0.001503333,0.026362618,-0.003777563,-0.00087446,0.03067254,-0.002634695,0.008304737,-0.002321326,0.02476063,0.012663524,-0.007194326,-0.017396365,0.008599761,0.026976985,0.016615647,0.001486669,0.010087059,0.006328301,-0.005742326,-0.017141152,0.007560478,-0.006058959,0.015097741,0.03103553,-0.001067673,0.004062726,-0.010130141,-0.033144541,0.016876999,0.006643604
2/24/2017,0.006902185,0.000627149,0.027018607,-0.034686634,0.017044145,-0.001905137,0.029499854,0.002359552,0.00199983,-0.012175374,0.020419396,0.00375671,0.00136962,0.03863573,0.001107578,0.013251586,0.006628927,0.024085905,0.011706724,0,0.019370654,0.018857189,-0.000439267,0.002620605,0.033931156,0.002760381,0.011029758,0.028261203,0.042613663,-0.008351843,0.006858213
2/17/2017,0.026883378,0.015551177,0.038241589,0.026031305,0.068379114,-0.014827958,0.008553647,0.007295294,0.02163512,0.031071248,0.022274245,0.011075697,0.03174857,0.030929464,0.036454001,0.015890814,0.015614266,0.028318289,0.019145257,0.015685162,0.009383073,0.038507218,0.0348522,0.018371863,-0.019663352,0.015789871,0.019899307,0.004278311,0.01965291,-0.009252417,0.015024007
2/10/2017,0.027604435,0.005622311,0.031875061,0.031966537,0.006048096,-0.004589088,0.01015377,-0.009473541,0.000673114,0.007319126,0.013461769,0.024011431,-0.032844578,0.013981343,-0.002066926,-0.02338157,0.012637204,0.022371411,-0.002180001,0.005012575,0.0711296,0.008069456,0.006386103,0.016420752,-0.006943177,0.012687039,-0.002093316,0.008200053,0.022599658,-0.003182266,0.008098059
2/3/2017,0.05682129,0.015366062,-0.032114256,-0.059413172,0.010915142,-0.00193534,-0.016480003,0.009107515,-0.010383604,0.016740211,-0.002533403,-0.00838238,-0.032086045,0.002290572,0.002871785,0.002168976,0.011169612,-0.013843414,0.040310066,-0.03244533,-0.015727405,0.031236118,0.007925175,-0.002713261,-0.006895308,-0.000455865,0.02720225,-0.020778853,0.01271196,-0.023307949,0.001188988
1/27/2017,0.016119345,0.008494073,0.049944673,0.045572759,0.028816563,-0.015781264,0.061984989,0.015118302,-0.017179189,0.020250101,0.019932617,0.038814677,0.027764712,-0.006768399,0.038222756,0.003141341,0.004895617,-0.005674768,-0.012552418,0.047316628,-0.000188024,-0.011077773,-0.008382544,0.000677645,0.026925269,-0.009887204,0.023308825,-0.061004093,-0.022885615,-0.004433995,0.010240949
1/20/2017,0.00803218,-0.005496772,0.004397469,0.009321033,0.000997221,-0.006724676,-0.007774801,-0.003708466,-0.026823321,-0.05079794,0.004138394,0.019000939,0.004068921,-0.003934459,-0.035573385,0.010705615,0.00623567,0.006181974,0.003043122,0.000637685,0.005277074,-0.023332817,0.048025291,0.008252882,-0.019597492,0.005158199,0.008220481,0.003229797,0.000744654,-0.00534133,-0.001464968
1/13/2017,0.009537864,0.015123005,-0.001698555,0.015358746,-0.005306812,-0.003944836,0.002993683,-0.008477839,-0.007940331,-0.002452892,0.011244909,-0.01300224,0.008461897,-0.014725295,0.006712133,-0.020819016,0.006109109,-0.004724124,0.033768823,-0.002230297,-0.018534679,-0.029092863,-0.012068248,-0.010368924,-0.003762928,-0.020919223,-0.012731248,-0.013420432,-0.016693029,-0.024593816,-0.001028244
1/6/2017,0.017884419,0.022845434,0.021730538,0.00322958,0.008880762,-0.007333544,-0.000272692,0.044660347,0.00031641,0.022505291,-0.00411048,0.021102326,0.005773195,0.009416558,0.003545858,0.006730971,-0.00791818,-0.001905952,0.023502883,0.011201936,0.058829231,0.030323613,0.01123539,-0.034487634,0.014700302,0.026377752,0.052311725,0.008384103,-0.012520127,-0.019691845,0.016896552
12/30/2016,-0.006025609,-0.011942472,-0.013589224,-0.016893478,-0.010205919,-0.006098562,-0.020630332,-0.008883856,-0.008821745,-0.00632784,-0.00720852,-0.004328222,-0.019115809,-0.006488723,-0.008768962,-0.003371051,-0.011598578,-0.001007452,-0.011652619,-0.017547205,-0.021024617,0,-0.010411852,0.002453527,-0.018510637,-0.009352306,-0.001664876,-0.005604398,-0.006058018,-0.004973186,-0.011086974
12/23/2016,0.00473134,-0.000399991,0.021197713,0.01862024,-0.001963367,0.002875171,0.000934702,0.011862747,0.01158385,0.008627397,-0.000444073,-0.000119927,0.018013533,0.000690118,0.024537556,-0.00335992,-0.000811796,0.007299306,-0.047221862,0.014975674,0.019255707,-0.011022716,0.003301156,0.004267261,-0.005566182,0.019437649,-0.002555983,0.026617932,-0.020496127,-0.00516788,0.002529921
12/16/2016,0.017571796,0.003071337,-0.01279809,-0.031367214,0.01747782,0.019411454,0.000133678,-0.00910092,-0.000944559,-0.012272694,0.012812057,0.001260213,0.015263293,0.031737538,-0.006454159,-0.006209654,0.016196655,-0.005843753,0.02721301,0.005310947,-0.015588878,0.035330491,0.003667457,0.020018108,0.023576968,-0.011634957,-0.010032449,0.015034928,0.012760683,0.024199097,-0.000646344
12/9/2016,0.036188861,0.03969691,0.027468135,0.004090895,0.027315746,0.024563128,0.023247296,0.070246797,0.013942009,0.079532913,0.026743235,0.039816572,0.045774582,0.002675957,0.046570101,0.03983039,0.025220588,0.034541321,0.001634466,0.044884704,0.0246636,0.002210746,0.023626468,0.035901773,-0.00380234,0.014403225,0.044176094,0.033171828,-0.004218943,0.022268601,0.030365304
12/2/2016,-0.017051251,-0.013819917,0.01462214,-0.007017577,-0.028313261,0.017857629,0.029558874,-0.003243478,-0.003185765,0.058222215,-0.007709413,-0.019309807,-0.036785803,-0.019196476,0.034535539,-0.020158158,-0.012514058,-0.006128698,-0.017512985,-0.021373303,-0.017187658,-0.001895154,-0.012781985,0.019206193,0.054504375,-0.005161276,-0.05660785,-0.017118141,-0.004926061,-0.000918712,-0.009715713
11/25/2016,0.015596504,0.025859832,0.0249008,0.036889643,-0.002986552,0.016349186,0.030894924,0.005886527,0.024796043,0.004884666,0.024933933,0.017000387,0.013922663,-0.010719543,0.014309721,0.015041475,0.005484998,0.003059651,0.005480378,0.002978085,0.008185701,0.006648699,0.017648133,0.014471815,0.022233482,0.021182496,-0.008574341,0.052675651,0.038496802,0.021346538,0.014311237
11/18/2016,0.014920871,0.00706722,-0.014718572,-0.007229678,-0.038353829,0.033683702,-0.005360371,0.005716628,-0.001303337,0.030946945,-0.011774952,-0.005471605,0.009775919,-0.01971562,0.013212633,-0.002928946,0.04936529,-0.005791731,-0.033066234,0.029017442,0.006478792,-0.034653058,-0.019084927,0.013867792,0.02048273,-0.015769551,-0.010927923,0.029128373,-0.038496802,-0.00456262,0.008029747
11/11/2016,-0.003774104,0.073409946,0.070018374,0.122214422,0.038022514,0.017595673,0.014128659,0.055028897,0.076791642,0.147796514,0.071333575,0.065405776,0.029319041,0.028771571,0.123799185,-0.015957841,0.028235986,0.0503679,0.083619721,0.005266317,0.016082983,0.092732123,-0.017787842,0.052210058,0.061329103,0.071680081,0.018738239,-0.008318444,0.029491478,0.033633782,0.037311115
11/4/2016,-0.038739377,-0.014246946,-0.02456329,-0.018894535,-0.013162438,0.009204349,-0.012168736,-0.015029739,-0.027056703,-0.006911004,-0.021842256,-0.001180339,-0.02552552,-0.001909435,-0.019727272,-0.012869562,-0.009500881,0.004273873,-0.000340021,-0.019565515,-0.040405675,-0.062348559,-0.020475216,-0.035292288,-0.018989304,-0.005020364,-0.022882078,-0.023718014,-0.011929646,-0.014375066,-0.019579921
10/28/2016,-0.025009847,-0.013601738,0.052983738,-0.028790079,0.014488258,0.024572221,-0.003593442,0.008775698,0.008247418,0.014041902,-0.024143768,0.01972004,-0.011732768,0.016523544,0.009011674,0.002370701,-0.016192899,-0.022251673,-0.039325257,0.003513796,0.00481741,-0.007799193,0.029329581,0.000738135,-0.035142872,0.031622091,-0.001579946,0.000207362,0.023857136,-0.021471108,-0.006912627
10/21/2016,-0.008794899,0.113209982,0.015829246,-0.00661394,-0.000994504,0.002174082,0.009659249,0.018771088,0.003110438,0.02404582,0.001422791,-0.031704816,-0.063381972,-0.035674691,0.014264,0.010978674,-0.001403319,-0.004884819,-0.015242729,0.038269084,0.002901648,-0.014805902,-0.039782557,-0.060260867,0.082039718,-0.014988042,-0.001213532,-0.042248277,-0.001608167,0.000924074,0.003827644
10/14/2016,0.030819474,-0.026414386,-0.002618362,-0.009083764,-0.041855285,-0.01170408,0.009899497,-0.012949675,-0.006555086,0.00405477,-0.014839469,-0.007867963,-0.017207507,-0.014189492,-0.008700393,-0.001438847,0.005625345,-0.005853787,-0.010087343,-0.006596077,-0.003287903,-0.027183901,-0.017598378,0.004790794,-0.020253553,-0.00418464,-0.005201704,0.00718557,-0.003645715,-0.002308401,-0.009685808
10/7/2016,0.008894355,-0.031232381,0.015889538,-0.003385278,0.000317838,-0.006335528,0.020396856,-0.003992419,-0.018399285,0.051717852,-0.002879535,-0.020222015,0.009228675,0.009352623,0.029812805,-0.014039431,-0.016695505,-0.028198353,0.005751702,0.003466271,-0.016469083,-0.009194558,0.002781653,-0.00017467,-0.024146427,-0.010090038,0.002174174,-0.029097398,-0.048582248,-0.006206166,-0.006723763
9/30/2016,0.003012118,0.00297124,-0.000303582,0.073978043,0.012052142,0.036612261,0.002990986,-0.004405465,-0.009074076,-0.023652985,0.006940385,0.024664298,0.014945712,-0.005739924,-0.009862707,-0.009875475,-0.015568141,-0.006560896,-0.008774057,0.00295568,-0.046390548,-0.011448931,0.02242217,-0.006612727,-0.003636047,-0.009404435,0.00193661,-0.011096321,-0.003183969,0.044873641,0.001652487
9/23/2016,-0.019418082,0.002980223,0.039311771,0.00474198,0.016082696,0.014006168,-0.007163264,0.007641383,0.007050479,-0.00525477,0.013233811,0.007382944,-0.012824254,0.004724593,0.021493439,0.014137825,0.0162619,0.013222061,0.010859249,0.003139085,-0.000543803,0.009384206,-0.003299053,0.005565721,0.01462474,0.024278363,0.005710388,0.013021979,-0.007161642,-0.006926135,0.011863949
9/16/2016,0.108245951,-0.022675354,-0.014340189,0.015475525,-0.000324221,-0.034456666,-0.017394149,0.001513662,-0.006609654,-0.015363448,-0.012842428,-0.011953804,0.061022888,0.000169129,-0.012531354,0.005056548,0.006090666,-0.003307709,0.003939984,0.018333083,-0.002714772,-0.004703111,0.020770789,0.002007687,0.035653957,-0.025447632,0.009057633,0.001157226,0.03590521,-0.032893581,0.005319878
9/9/2016,-0.043637904,-0.001074339,-0.020255707,-0.011078334,-0.031272468,0.003362902,-0.023968875,-0.02140949,-0.038441155,-0.003612037,-0.056388307,-0.024490464,-0.017897752,-0.009177097,-0.01252438,-0.032354828,-0.010850363,-0.029010353,-0.007810559,-0.025642469,-0.04747249,-0.01945761,-0.022472902,-0.032094875,-0.017523165,-0.040557105,-0.00820436,-0.020249144,-0.030814746,-0.006656655,-0.024222384
9/2/2016,0.007360239,0.006154713,-0.008124707,-0.011804381,0.015195011,-0.003856558,0.006297306,-0.00833205,0.00191943,0.023058933,0.010977588,0.007739009,0.022989778,0.002349375,0.018996802,0.007818002,0.019814467,0.007773128,0.002066212,-0.006223031,-0.013969881,-0.001437029,0.0070543,0.014408188,-7.31E-05,-0.00354745,0.017592937,0.015436311,0.018936768,0.001717296,0.005031002
8/26/2016,-0.022377259,-0.011356667,-0.016575308,-0.014174248,0.026831955,-0.009821329,-0.001864552,-0.012317507,-0.000640253,-0.001565159,-0.008153746,-0.01080535,0.000567238,-0.007365214,0.005451249,-0.013755318,-0.004968391,-0.001114179,-0.008081729,0.007090411,0.001696322,-0.004584521,0.003087822,-0.002813196,-0.038905436,-0.016909613,0.001241865,-0.007271367,-0.023203487,-0.006054799,-0.006813895
